Date,Country,Confirmed Cases,Recovered,Deaths
2020/3/1,Mexico,1,0,0
2020/3/1,Luxembourg,1,0,0
2020/3/1,Kuwait,3,0,0
2020/3/1,Netherlands,5,0,0
2020/3/1,Norway,10,0,0
2020/3/1,Pakistan,1,0,0
2020/3/1,Qatar,1,0,0
2020/3/1,USA,0,0,1
2020/3/1,United Kingdom,15,0,0
2020/3/1,Thailand,0,0,1
2020/3/1,Switzerland,9,0,0
2020/3/1,Sweden,1,0,0
2020/3/1,Korea,376,3,1
2020/3/1,Spain,17,0,0
2020/3/1,Singapore,4,3,0
2020/3/1,San Marino,1,0,0
2020/3/1,Malaysia,4,0,0
2020/3/1,Israel,1,0,0
2020/3/1,China,578,2854,35
2020/3/1,Brazil,1,0,0
2020/3/1,Belgium,1,0,0
2020/3/1,Canada,4,0,0
2020/3/1,Bahrain,3,0,0
2020/3/1,Austria,5,0,0
2020/3/1,Armenia,1,0,0
2020/3/1,Japan,10,19,0
2020/3/1,Croatia,2,0,0
2020/3/1,Azerbaijan,2,0,0
2020/3/1,Australia,3,0,1
2020/3/1,Greece,3,0,0
2020/3/1,France,43,1,0
2020/3/1,Georgia,1,0,0
2020/3/1,Germany,51,0,0
2020/3/1,Iran,385,52,11
2020/3/1,Italy,240,4,8
2020/3/1,Iraq,5,0,0
2020/3/1,Ireland,1,0,0
2020/3/1,Ecuador,1,0,0
2020/3/2,Netherlands,3,0,0
2020/3/2,Korea,809,0,5
2020/3/2,Mexico,1,0,0
2020/3/2,Pakistan,1,0,0
2020/3/2,Egypt,1,0,0
2020/3/2,Singapore,4,2,0
2020/3/2,Spain,26,0,0
2020/3/2,Thailand,1,3,0
2020/3/2,United Kingdom,1,0,0
2020/3/2,Japan,24,0,1
2020/3/2,Switzerland,3,0,0
2020/3/2,Australia,1,0,0
2020/3/2,Norway,2,0,0
2020/3/2,Indonesia,2,0,0
2020/3/2,Canada,4,0,0
2020/3/2,Austria,4,0,0
2020/3/2,Bahrain,6,0,0
2020/3/2,China,203,2681,42
2020/3/2,Czech Republic,3,0,0
2020/3/2,Italy,566,33,5
2020/3/2,Diamond Princess Cruise Ship,1,0,0
2020/3/2,Ecuador,5,0,0
2020/3/2,Andorra,1,0,0
2020/3/2,France,30,0,0
2020/3/2,Germany,13,0,0
2020/3/2,USA,14,0,0
2020/3/2,Iran,523,0,12
2020/3/2,Iraq,6,0,0
2020/3/2,Dominican Republic,1,0,0
2020/3/2,Finland,3,0,0
2020/3/3,Portugal,2,0,0
2020/3/3,Mexico,0,1,0
2020/3/3,Oman,6,1,0
2020/3/3,Norway,13,0,0
2020/3/3,Lebanon,7,0,0
2020/3/3,Morocco,1,0,0
2020/3/3,Malaysia,7,4,0
2020/3/3,Kuwait,10,0,0
2020/3/3,Qatar,6,0,0
2020/3/3,United Kingdom,15,0,0
2020/3/3,Korea,851,0,9
2020/3/3,Pakistan,1,0,0
2020/3/3,USA,23,0,5
2020/3/3,Ukraine,1,0,0
2020/3/3,Switzerland,19,2,0
2020/3/3,Sweden,6,0,0
2020/3/3,Senegal,1,0,0
2020/3/3,Spain,66,0,0
2020/3/3,Singapore,4,0,0
2020/3/3,Saudi Arabia,1,0,0
2020/3/3,Japan,15,0,0
2020/3/3,Belarus,2,0,0
2020/3/3,Czech Republic,2,0,0
2020/3/3,China,128,2591,33
2020/3/3,Jordan,1,0,0
2020/3/3,Croatia,2,0,0
2020/3/3,Australia,11,0,0
2020/3/3,Netherlands,14,0,0
2020/3/3,Belgium,11,0,0
2020/3/3,Denmark,3,0,0
2020/3/3,India,3,0,0
2020/3/3,Iceland,8,0,0
2020/3/3,Iran,835,260,11
2020/3/3,Germany,66,0,0
2020/3/3,Italy,342,66,18
2020/3/4,Korea,435,11,2
2020/3/4,New Zealand,1,0,0
2020/3/4,Norway,1,0,0
2020/3/4,Latvia,1,0,0
2020/3/4,Malaysia,14,0,0
2020/3/4,Liechtenstein,1,0,0
2020/3/4,Poland,1,0,0
2020/3/4,Romania,1,1,0
2020/3/4,USA,22,0,3
2020/3/4,United Arab Emirates,6,0,0
2020/3/4,Tunisia,1,0,0
2020/3/4,Switzerland,12,0,0
2020/3/4,Sweden,11,0,0
2020/3/4,Spain,15,0,1
2020/3/4,China,121,2564,36
2020/3/4,Chile,1,0,0
2020/3/4,Canada,6,0,0
2020/3/4,Belarus,1,0,0
2020/3/4,Bahrain,2,0,0
2020/3/4,Australia,1,6,0
2020/3/4,Argentina,1,0,0
2020/3/4,Austria,10,0,0
2020/3/4,Denmark,4,0,0
2020/3/4,Italy,466,11,27
2020/3/4,Ireland,1,0,0
2020/3/4,Iraq,13,0,1
2020/3/4,Iran,586,117,15
2020/3/4,India,9,0,0
2020/3/4,Iceland,5,0,0
2020/3/4,Germany,44,0,0
2020/3/4,France,82,0,2
2020/3/4,Ecuador,1,0,0
2020/3/4,Japan,15,5,0
2020/3/5,Singapore,2,5,0
2020/3/5,Norway,23,0,0
2020/3/5,USA,31,0,2
2020/3/5,Oman,3,0,0
2020/3/5,Korea,467,0,3
2020/3/5,New Zealand,1,0,0
2020/3/5,Lebanon,5,1,0
2020/3/5,Netherlands,14,0,0
2020/3/5,Mexico,1,0,0
2020/3/5,United Arab Emirates,1,0,0
2020/3/5,Thailand,4,0,0
2020/3/5,Switzerland,8,0,0
2020/3/5,United Kingdom,34,0,0
2020/3/5,Senegal,3,0,0
2020/3/5,Sweden,22,0,0
2020/3/5,Spain,64,0,0
2020/3/5,Slovenia,1,0,0
2020/3/5,Saudi Arabia,1,0,0
2020/3/5,San Marino,9,0,0
2020/3/5,Russia,1,0,0
2020/3/5,Romania,2,0,0
2020/3/5,Portugal,3,0,0
2020/3/5,Greece,3,0,0
2020/3/5,China,157,2307,32
2020/3/5,Chile,2,0,0
2020/3/5,Canada,3,0,0
2020/3/5,Brazil,1,0,0
2020/3/5,Bosnia and Herzegovina,1,0,0
2020/3/5,Belarus,2,0,0
2020/3/5,Belgium,10,0,0
2020/3/5,Australia,12,0,1
2020/3/5,Algeria,7,0,0
2020/3/5,Denmark,5,0,0
2020/3/5,Croatia,1,0,0
2020/3/5,Iceland,12,0,0
2020/3/5,Italy,587,116,28
2020/3/5,Israel,5,0,0
2020/3/5,Iraq,0,0,1
2020/3/5,India,14,0,0
2020/3/5,Japan,27,0,0
2020/3/5,Germany,109,0,0
2020/3/5,France,73,0,0
2020/3/5,Finland,1,0,0
2020/3/5,Hungary,2,0,0
2020/3/5,Ecuador,3,0,0
2020/3/6,Estonia,4,0,0
2020/3/6,Ecuador,3,0,0
2020/3/6,Diamond Princess Cruise Ship,-10,0,0
2020/3/6,Russia,5,0,0
2020/3/6,Finland,8,0,0
2020/3/6,India,2,0,0
2020/3/6,Hungary,1,0,0
2020/3/6,Iceland,8,0,0
2020/3/6,Iran,1825,361,32
2020/3/6,Denmark,5,1,0
2020/3/6,Iraq,6,0,0
2020/3/6,Czech Republic,7,0,0
2020/3/6,China,153,1650,29
2020/3/6,Algeria,9,0,0
2020/3/6,Germany,216,0,0
2020/3/6,Indonesia,2,0,0
2020/3/6,Austria,17,0,0
2020/3/6,Ireland,11,0,0
2020/3/6,Cameroon,1,0,0
2020/3/6,Croatia,1,0,0
2020/3/6,Belgium,86,0,0
2020/3/6,Brazil,5,0,0
2020/3/6,Australia,6,1,0
2020/3/6,Canada,15,0,0
2020/3/6,Chile,1,0,0
2020/3/6,Bahrain,7,4,0
2020/3/6,Israel,2,1,0
2020/3/6,Greece,35,0,0
2020/3/6,Japan,40,0,0
2020/3/6,Republic of Serbia,1,0,0
2020/3/6,Argentina,1,0,0
2020/3/6,Italy,838,138,41
2020/3/6,San Marino,13,0,0
2020/3/6,Thailand,1,0,0
2020/3/6,Peru,1,0,0
2020/3/6,Slovenia,5,0,0
2020/3/6,South Africa,1,0,0
2020/3/6,Spain,116,0,0
2020/3/6,Status Civitatis Vaticanae,1,0,0
2020/3/6,Switzerland,62,1,1
2020/3/6,Singapore,18,3,0
2020/3/6,United Arab Emirates,1,0,0
2020/3/6,Philippines,2,0,0
2020/3/6,Palestine,7,0,0
2020/3/6,USA,79,0,3
2020/3/6,United Kingdom,31,0,1
2020/3/6,France,292,0,5
2020/3/6,Sweden,42,0,0
2020/3/6,Korea,505,0,6
2020/3/6,Kuwait,2,0,0
2020/3/6,Malaysia,5,0,0
2020/3/6,Kingdom of Bhutan,1,0,0
2020/3/6,New Zealand,1,0,0
2020/3/6,Oman,1,0,0
2020/3/6,Norway,30,0,0
2020/3/6,Pakistan,1,0,0
2020/3/6,Netherlands,44,0,0
2020/3/7,New Zealand,1,0,0
2020/3/7,Philippines,1,0,0
2020/3/7,USA,92,7,0
2020/3/7,Norway,27,0,0
2020/3/7,Palestine,9,0,0
2020/3/7,Portugal,3,0,0
2020/3/7,Malaysia,28,1,0
2020/3/7,Poland,4,0,0
2020/3/7,United Kingdom,47,0,0
2020/3/7,Netherlands,46,0,1
2020/3/7,United Arab Emirates,16,2,0
2020/3/7,Togo,1,0,0
2020/3/7,Thailand,2,0,0
2020/3/7,Switzerland,82,0,0
2020/3/7,Qatar,4,0,0
2020/3/7,Vietnam,2,0,0
2020/3/7,Sweden,43,0,0
2020/3/7,Romania,3,2,0
2020/3/7,Spain,42,0,0
2020/3/7,Korea,448,67,5
2020/3/7,Cameroon,1,0,0
2020/3/7,Costa Rica,1,0,0
2020/3/7,Colombia,1,0,0
2020/3/7,China,81,1591,28
2020/3/7,Canada,5,0,0
2020/3/7,Czech Republic,6,0,0
2020/3/7,Austria,14,0,0
2020/3/7,Denmark,3,0,0
2020/3/7,Argentina,6,0,0
2020/3/7,Australia,5,0,0
2020/3/7,Luxembourg,2,0,0
2020/3/7,Brazil,5,0,0
2020/3/7,Croatia,1,0,0
2020/3/7,Japan,49,0,0
2020/3/7,Italy,709,109,49
2020/3/7,Israel,4,0,0
2020/3/7,Ireland,5,0,0
2020/3/7,Iran,1076,756,21
2020/3/7,India,2,0,0
2020/3/7,Iceland,11,0,0
2020/3/7,Egypt,13,0,0
2020/3/7,Greece,1,0,0
2020/3/7,Grand Princess,21,0,0
2020/3/7,Germany,122,0,0
2020/3/7,Georgia,6,0,0
2020/3/7,France,36,0,0
2020/3/7,Estonia,5,0,0
2020/3/7,Iraq,8,0,2
2020/3/8,Paraguay,1,0,0
2020/3/8,Palestine,3,0,0
2020/3/8,Pakistan,0,1,0
2020/3/8,Peru,5,0,0
2020/3/8,North Macedonia,2,0,0
2020/3/8,Norway,34,0,0
2020/3/8,Malta,1,0,0
2020/3/8,Mexico,1,0,0
2020/3/8,Maldives,2,0,0
2020/3/8,Malaysia,10,0,0
2020/3/8,Lebanon,13,0,0
2020/3/8,Netherlands,60,0,0
2020/3/8,Poland,1,0,0
2020/3/8,Sweden,24,0,0
2020/3/8,Vietnam,3,0,0
2020/3/8,Switzerland,18,0,0
2020/3/8,USA,121,0,5
2020/3/8,Slovakia,3,0,0
2020/3/8,Portugal,7,0,0
2020/3/8,Spain,129,0,9
2020/3/8,South Africa,1,0,0
2020/3/8,Singapore,8,0,0
2020/3/8,Saudi Arabia,5,0,0
2020/3/8,San Marino,3,0,0
2020/3/8,Russia,2,1,0
2020/3/8,Slovenia,6,0,0
2020/3/8,Romania,4,0,0
2020/3/8,Bosnia and Herzegovina,2,0,0
2020/3/8,China,53,1854,28
2020/3/8,Chile,3,0,0
2020/3/8,Brazil,6,0,0
2020/3/8,Belgium,60,0,0
2020/3/8,Korea,273,0,3
2020/3/8,Afghanistan,3,0,0
2020/3/8,Algeria,2,0,0
2020/3/8,Bahrain,21,0,0
2020/3/8,Argentina,1,0,1
2020/3/8,Australia,10,0,1
2020/3/8,Austria,24,0,0
2020/3/8,United Kingdom,43,0,1
2020/3/8,Czech Republic,3,0,0
2020/3/8,Denmark,4,0,0
2020/3/8,Canada,7,0,0
2020/3/8,Egypt,18,0,0
2020/3/8,Japan,43,0,1
2020/3/8,Italy,1247,66,36
2020/3/8,Israel,4,0,0
2020/3/8,Ireland,1,0,0
2020/3/8,Iran,743,465,49
2020/3/8,India,6,0,0
2020/3/8,Iceland,5,0,0
2020/3/8,Iraq,8,0,0
2020/3/8,Greece,20,0,0
2020/3/8,Germany,160,0,0
2020/3/8,Georgia,4,0,0
2020/3/8,France,336,0,7
2020/3/8,Finland,4,0,0
2020/3/8,Cambodia,1,0,0
2020/3/8,Hungary,2,0,0
2020/3/9,Tunisia,1,0,0
2020/3/9,Nigeria,1,0,0
2020/3/9,Korea,164,58,3
2020/3/9,Moldova,1,0,0
2020/3/9,Maldives,2,0,0
2020/3/9,Malaysia,24,0,0
2020/3/9,Luxembourg,2,0,0
2020/3/9,Switzerland,84,0,1
2020/3/9,Lebanon,4,0,0
2020/3/9,Norway,22,0,0
2020/3/9,Philippines,4,0,0
2020/3/9,Portugal,15,0,0
2020/3/9,Romania,2,0,0
2020/3/9,Slovakia,2,0,0
2020/3/9,Slovenia,4,0,0
2020/3/9,Spain,483,0,15
2020/3/9,Sweden,52,0,0
2020/3/9,Latvia,5,0,0
2020/3/9,San Marino,10,0,0
2020/3/9,Poland,2,0,0
2020/3/9,Hungary,4,0,0
2020/3/9,Brazil,6,0,0
2020/3/9,Bulgaria,2,0,0
2020/3/9,Canada,6,0,0
2020/3/9,Chile,1,0,0
2020/3/9,China,37,1412,23
2020/3/9,Costa Rica,8,0,0
2020/3/9,Denmark,8,0,0
2020/3/9,Finland,11,0,0
2020/3/9,Bahrain,32,10,0
2020/3/9,France,177,0,3
2020/3/9,Egypt,22,11,0
2020/3/9,Czech Republic,11,0,0
2020/3/9,Australia,9,0,0
2020/3/9,USA,127,0,2
2020/3/9,Japan,51,0,2
2020/3/9,Italy,1492,33,133
2020/3/9,Israel,14,0,0
2020/3/9,Ireland,2,0,0
2020/3/9,Iraq,7,0,2
2020/3/9,Iceland,8,0,0
2020/3/9,Iran,595,60,43
2020/3/9,Germany,265,0,0
2020/3/9,Argentina,3,0,0
2020/3/9,Austria,23,0,0
2020/3/9,Belgium,70,0,0
2020/3/10,North Macedonia,4,0,0
2020/3/10,Pakistan,10,0,0
2020/3/10,Panama,1,0,0
2020/3/10,Philippines,23,0,0
2020/3/10,Morocco,2,0,0
2020/3/10,Latvia,2,0,0
2020/3/10,Mongolia,1,0,0
2020/3/10,Maldives,2,0,0
2020/3/10,Malaysia,12,0,0
2020/3/10,Poland,10,0,0
2020/3/10,Netherlands,194,0,3
2020/3/10,United Kingdom,113,0,0
2020/3/10,Qatar,7,0,0
2020/3/10,United Arab Emirates,29,0,0
2020/3/10,Tunisia,3,0,0
2020/3/10,Thailand,3,0,0
